Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/24  19:00:00,0,0.002364012,0.001794001,2.40E-05,0.002905868,0.001322949,0.001725694,0.002635691,0.002152204,0,0.000573109,0.000266738,9.31E-05,0.008618415,0,4.73E-07,0.003929456,0.000688184
 08/24  20:00:00,0,0.001603734,0.001578904,1.74E-05,0,0.001322949,0.000724326,0.000496608,0.001655543,0,0.000229618,0.000106378,0,0.002576004,0,0,0.004516293,0.000649318
 08/24  21:00:00,0,0.000937273,0.001449396,0,0,0.001322949,0.001715715,0.000699419,0.000496663,0,2.18E-05,0.000159056,0,0.001325983,0,0,0.003036984,0.000743916
 08/24  22:00:00,0,0.000425732,0.001245466,0,0,0.001297263,0.001757018,0.000281271,0,0,0,0,0,0.001248778,0,2.20E-05,0.004709696,0.000692734
 08/24  23:00:00,0,0.000132531,0.000652881,0,0,5.14E-05,0.001276183,6.73E-05,0,0,0,0,0,0.000393789,0,0,0.004071583,0.000439913
 08/24  24:00:00,0,0.000012543,0.000282108,0,0,5.14E-05,0.001274713,6.68E-05,0,0,0,0.000105412,0,0.001484637,0,0,0.003248464,0.000216486
 08/25  01:00:00,0,0,0.000293883,0,0,5.14E-05,0.001274849,6.64E-05,0,0,0,0.000105409,0,0,0,0,0.002721734,0.000214174
 08/25  02:00:00,0,0,0.000195567,0,0,5.14E-05,0.001277263,6.61E-05,0,0,0,9.22E-06,0,0,0,1.49E-06,0.002303873,0
 08/25  03:00:00,0,0,9.78E-05,0,0,5.14E-05,0.001277014,6.59E-05,0,0,0,0.000043482,0,0,0,2.62E-05,0.001987817,0.000214128
 08/25  04:00:00,0,0,0.000391874,0,0,5.14E-05,0.001279451,6.55E-05,0,0,0,5.27E-05,0,0,0,4.48E-05,0.001778428,0.00035354
 08/25  05:00:00,0,0,0.000645918,0,0,5.14E-05,0.001283669,6.52E-05,0,0,0,5.27E-05,0,0,0,0,0.001675915,0.000436619
 08/25  06:00:00,0,0,0.001950551,0,2.75E-05,5.14E-05,0.002097382,0.00309944,4.30E-05,0,0,0,0,0.00033009,0,0,0.001931187,0.000447382
 08/25  07:00:00,0,0,0.002168606,0.000123185,0.000232086,0.00249177,0.002153471,0.002148456,0.000248332,0.000193071,3.56E-07,0,0.001693095,0.002299508,0,0.000075509,0.002704394,0.000710942
 08/25  08:00:00,0,0.000127344,0.002088469,0.00048857,0.002036179,0.002697278,0.001792741,0.001640135,0.000248332,0.000153972,3.33E-06,0.000105432,0.001105735,0.008837336,0,0,0.003948631,0.003004453
 08/25  09:00:00,0,0.000505424,0.00178901,0.000925582,0.002245449,0.002979852,0.00332296,0.003234981,0.000165554,0.000106978,1.14E-05,0.000211968,0.000279272,0.007443927,0,0,0.001980238,0.002695175
 08/25  10:00:00,0,0.001006124,0.001590159,0.000264936,0.003014892,0.001836721,0.003276019,0.004084173,0.000165554,0,4.34E-05,5.32E-05,4.35E-05,0.012783776,0,0,0.001871824,0.002196924
 08/25  11:00:00,0,0.001524925,0.001450202,1.29E-05,0.002939472,0.001836721,0.003196657,0.00549138,0.000413886,0,0.000234394,0.000188538,3.95E-05,0.01821617,0,0,0.002361611,0.002185908
 08/25  12:00:00,0,0.001902968,0.00118302,1.27E-05,0.003531548,0.002466085,0.003216803,0.006557014,0.000496663,0,0.000405943,0.000185018,4.70E-05,0.022166899,0,0,0.002865356,0.001917963
